ids,Source,Target,weight,time
609,2,22,133529,21
610,2,21,10211,21
611,10,17,62,21
612,22,21,6486,21
613,18,20,519810,22
614,18,4,33375,22
615,18,7,11,22
616,18,24,62,22
617,18,16,542,22
618,18,2,4,22
619,19,17,49,22
620,19,2,46,22
621,19,22,176,22
622,20,4,41735,22
623,20,7,71,22
624,20,16,769,22
625,20,2,2178,22
626,20,11,17,22
627,3,8,116346,22
628,3,14,338878,22
629,14,8,241696,22
630,14,21,78,22
631,4,7,205,22
632,4,16,746,22
633,4,2,322769,22
634,4,21,85,22
635,4,11,1218,22
636,7,16,62,22
637,7,22,23,22
638,16,2,73363,22
639,16,21,151,22
640,16,11,13,22
641,2,22,173525,22
642,2,21,36017,22
643,10,17,391,22
644,22,21,29371,22
645,22,11,16,22
646,18,20,108783,23
647,18,23,12,23
648,18,13,2730,23
649,18,4,273,23
650,18,24,218,23
651,18,16,1022,23
652,18,2,57,23
653,18,11,79,23
654,20,16,90,23
655,20,2,2588,23
656,20,13,155887,23
657,20,21,16,23
658,23,13,55,23
659,3,8,2005,23
660,3,16,1477,23
661,3,9,3944,23
662,13,24,242,23
663,13,16,77473,23
664,13,2,54943,23
665,13,22,563,23
666,13,21,253,23
667,13,11,489,23
668,8,9,156,23
669,24,16,153,23
670,24,2,12,23
671,24,22,211,23
672,16,2,72676,23
673,16,22,621,23
674,2,22,45538,23
675,2,21,26648,23
676,22,21,104247,23
677,22,11,79,23
678,18,19,184,24
679,18,20,276,24
680,18,3,96,24
681,19,20,16837,24
682,19,23,227902,24
683,19,3,670,24
684,19,13,4,24
685,19,24,62,24
686,19,16,1392,24
687,19,2,136,24
688,19,21,74,24
689,19,11,3,24
690,20,23,249203,24
691,20,3,652,24
692,20,24,292,24
693,20,16,577627,24
694,20,2,3654,24
695,20,22,183,24
696,20,11,398,24
697,23,3,159,24
698,23,24,663,24
699,23,16,78820,24
700,23,2,4274,24
701,23,22,9,24
702,23,21,117,24
703,23,11,144,24
704,3,24,521,24
705,3,16,3372,24
706,3,11,305,24
707,13,8,100381,24
708,13,16,233,24
709,13,9,22021,24
710,8,16,243,24
711,8,9,1426,24
712,24,16,3351,24
713,24,2,13,24
714,24,22,75,24
715,16,2,2113,24
716,16,22,51,24
717,2,22,2342,24
718,22,21,944,24
719,18,24,7017,25
720,18,16,17,25
721,18,2,2,25
722,18,11,82,25
723,18,19,33,25
724,19,20,4394,25
725,19,23,172224,25
726,19,3,674,25
727,19,24,1462,25
728,19,16,3606,25
729,19,2,214,25
730,19,21,272,25
731,19,11,621,25
732,20,23,1655,25
733,20,3,14190,25
734,20,24,141,25
735,20,16,604800,25
736,20,2,3678,25
737,20,21,684,25
738,20,11,59,25
739,23,3,335,25
740,23,16,367,25
741,23,2,1374,25
742,23,21,4545,25
743,23,11,164,25
744,3,2,202,25
745,3,16,5215,25
746,13,9,358074,25
747,24,16,263,25
748,24,22,118,25
749,16,2,523,25
750,2,22,737,25
751,2,21,523,25
752,2,11,46,25
753,10,17,354,25
754,21,17,49,25
755,18,19,154,26
756,18,20,427,26
757,18,23,10,26
758,18,16,694,26
759,18,2,6,26
760,18,11,5,26
761,19,20,28177,26
762,19,23,192921,26
763,19,3,12035,26
764,19,24,804,26
765,19,16,219,26
766,19,2,42,26
767,19,11,27,26
768,20,23,426218,26
769,20,3,1164,26
770,20,13,81,26
771,20,24,1807,26
772,20,16,598254,26
773,20,2,2634,26
774,20,21,897,26
775,20,17,601,26
776,20,11,76,26
777,23,3,133,26
778,23,24,2671,26
779,23,16,418977,26
780,23,11,108,26
781,3,24,42,26
782,3,16,46,26
783,3,2,525,26
784,13,8,2533,26
785,13,9,23696,26
786,8,9,171,26
787,24,16,271,26
788,24,22,85,26
789,24,21,241,26
790,16,2,560,26
791,2,22,899,26
792,2,21,226,26
793,2,11,451,26
794,10,17,409,26
795,10,21,2232,26
796,21,17,64,26
797,18,11,122172,27
798,18,16,27,27
799,18,23,71,27
800,18,19,25,27
801,19,23,8604,27
802,19,13,108,27
803,19,24,382,27
804,19,16,2388,27
805,19,2,3088,27
806,19,11,15,27
807,20,8,18,27
808,20,9,95125,27
809,23,13,63993,27
810,23,24,748,27
811,23,16,142728,27
812,23,2,3392,27
813,23,21,92,27
814,23,11,118,27
815,13,2,1087,27
816,13,11,857,27
817,13,24,107,27
818,24,16,113,27
819,16,2,269399,27
820,2,21,266,27
821,2,11,252,27
822,10,17,369,27
823,21,17,867,27
824,18,19,361,28
825,18,23,12781,28
826,18,13,10,28
827,18,24,113,28
828,18,16,4,28
829,18,2,7,28
830,18,11,513607,28
831,19,23,132509,28
832,19,13,195,28
833,19,24,83,28
834,19,16,2256,28
835,19,2,333,28
836,19,11,658,28
837,20,8,99,28
838,20,9,4,28
839,23,13,1038,28
840,23,16,468,28
841,23,2,299602,28
842,23,11,48,28
843,13,16,64,28
844,13,2,168,28
845,24,21,948,28
846,24,11,138,28
847,16,2,242429,28
848,2,22,705,28
849,10,17,229,28
850,21,17,149989,28
851,18,19,587518,29
852,18,16,620,29
853,18,23,96,29
854,18,2,194,29
855,18,13,77,29
856,19,23,52605,29
857,19,13,30,29
858,19,24,73,29
859,19,16,4318,29
860,19,2,3427,29
861,20,8,1271,29
862,20,9,3,29
863,23,13,76,29
864,23,24,48,29
865,23,16,534,29
866,23,2,144528,29
867,13,2,7,29
868,13,24,68,29
869,16,2,46899,29
870,2,22,874,29
871,21,17,374802,29
872,1,4,2,3
873,5,8,14,3
874,5,11,11,3
875,5,9,15,3
876,5,7,8,3
877,5,6,3,3
878,12,19,18,3
879,12,3,2,3
880,12,13,30,3
881,12,14,6,3
882,12,4,9,3
883,12,16,6,3
884,15,16,2,3
885,15,3,2,3
886,15,13,2,3
887,15,4,6,3
888,8,11,2,3
889,8,7,9,3
890,16,18,2,3
891,16,3,3,3
892,16,13,2,3
893,16,14,13,3
894,16,17,4,3
895,9,6,14,3
896,9,11,6,3
897,9,7,7,3
898,2,4,2,3
899,10,11,17,3
900,10,20,12,3
901,10,23,2,3
902,10,7,1,3
903,22,17,12,3
904,22,21,3,3
905,21,17,2,3
906,21,19,41,3
907,21,18,1,3
908,17,23,3,3
909,11,20,13,3
910,11,6,1,3
911,11,7,6,3
912,18,19,16,3
913,19,3,2,3
914,19,13,4,3
915,19,14,6,3
916,20,23,2,3
917,3,4,2,3
918,3,6,2,3
919,13,14,282,3
920,13,4,12,3
921,14,4,3,3
922,18,19,604800,30
923,18,16,364321,30
924,18,23,558,30
925,18,2,179,30
926,18,13,58,30
927,19,23,4912,30
928,19,13,372,30
929,19,24,616,30
930,19,16,271724,30
931,19,2,1271,30
932,19,11,627,30
933,23,16,1587,30
934,23,13,451,30
935,23,11,1143,30
936,13,24,1912,30
937,13,2,102,30
938,13,11,723,30
939,16,2,1008,30
940,2,11,135,30
941,18,24,102,31
942,18,16,510556,31
943,18,23,198092,31
944,18,2,53648,31
945,18,19,909,31
946,19,23,1812,31
947,19,24,127534,31
948,19,16,91156,31
949,19,2,600,31
950,19,11,6556,31
951,23,24,172,31
952,23,16,8012,31
953,23,2,1554,31
954,23,11,387,31
955,24,16,228,31
956,24,2,33033,31
957,24,22,38,31
958,24,11,22,31
959,16,2,76476,31
960,2,22,6,31
961,2,21,65,31
962,2,17,26,31
963,2,11,256,31
964,18,11,8791,32
965,18,16,27,32
966,18,23,16918,32
967,18,19,257631,32
968,19,23,1751,32
969,19,24,149822,32
970,19,16,9632,32
971,19,2,6132,32
972,19,11,72616,32
973,23,24,12203,32
974,23,16,17055,32
975,23,2,2014,32
976,23,11,8294,32
977,8,9,75695,32
978,8,22,693,32
979,24,16,33,32
980,24,2,99327,32
981,24,22,895,32
982,24,11,226,32
983,16,2,12846,32
984,2,21,1078,32
985,2,17,24,32
986,2,11,11854,32
987,10,22,561,32
988,22,17,2065,32
989,22,21,3162,32
990,21,17,180034,32
991,18,19,45457,33
992,18,23,2424,33
993,18,24,1403,33
994,18,16,189,33
995,18,2,63275,33
996,18,22,857,33
997,18,21,15,33
998,18,11,8,33
999,19,23,1692,33
1000,19,24,10359,33
1001,19,16,68,33
1002,19,2,3669,33
1003,19,22,28,33
1004,19,21,1546,33
1005,19,11,46975,33
1006,23,24,9153,33
1007,23,16,41,33
1008,23,2,556,33
1009,23,11,115083,33
1010,8,9,55034,33
1011,8,22,110315,33
1012,24,16,25,33
1013,24,2,36871,33
1014,24,22,1550,33
1015,16,9,35,33
1016,16,2,167,33
1017,16,22,992,33
1018,16,11,61,33
1019,9,2,181,33
1020,9,22,5212,33
1021,2,10,22,33
1022,2,22,559,33
1023,2,21,41760,33
1024,2,17,2131,33
1025,2,11,10130,33
1026,10,17,16,33
1027,22,21,9168,33
1028,22,17,120,33
1029,21,17,35,33
1030,18,24,165,34
1031,18,2,349341,34
1032,18,22,168,34
1033,18,19,1985,34
1034,19,23,1964,34
1035,19,24,5,34
1036,19,16,5028,34
1037,19,2,246,34
1038,19,10,32,34
1039,19,21,1446,34
1040,19,11,6216,34
1041,23,16,62,34
1042,23,11,67770,34
1043,23,24,137088,34
1044,8,9,27154,34
1045,8,22,14389,34
1046,16,2,18926,34
1047,16,22,1373,34
1048,9,22,164724,34
1049,2,21,3,34
1050,2,17,3733,34
1051,2,11,25,34
1052,10,17,161,34
1053,10,21,92,34
1054,22,17,11393,34
1055,21,17,108,34
1056,18,11,99669,35
1057,18,23,65338,35
1058,18,22,119,35
1059,18,4,100156,35
1060,20,8,352976,35
1061,20,22,25194,35
1062,23,24,77075,35
1063,23,16,47220,35
1064,23,11,11659,35
1065,23,4,785,35
1066,13,8,96256,35
1067,13,24,63,35
1068,13,22,115,35
1069,4,24,125,35
1070,8,9,233868,35
1071,8,22,38,35
1072,24,11,273168,35
1073,16,22,69,35
1074,9,22,67206,35
1075,10,17,16,35
1076,10,21,248,35
1077,22,17,33,35
1078,21,17,134537,35
1079,18,24,355327,36
1080,18,16,549,36
1081,18,23,30,36
1082,18,22,79,36
1083,18,21,811,36
1084,20,8,86770,36
1085,20,24,8,36
1086,20,22,62027,36
1087,23,4,37,36
1088,23,24,878,36
1089,23,16,49,36
1090,23,10,3,36
1091,23,21,38,36
1092,23,11,37,36
1093,13,8,61465,36
1094,13,22,44,36
1095,8,9,52928,36
1096,8,22,181756,36
1097,24,16,11,36
1098,16,9,177,36
1099,16,11,88,36
1100,9,22,26201,36
1101,10,21,149,36
1102,21,17,51592,36
1103,21,11,76,36
1104,18,24,78,37
1105,18,23,84,37
1106,18,11,66,37
1107,18,4,291,37
1108,20,24,70,37
1109,20,22,40375,37
1110,23,17,11,37
1111,23,16,333,37
1112,23,24,2992,37
1113,13,24,86,37
1114,13,22,1676,37
1115,8,22,177387,37
1116,24,22,26,37
1117,24,11,8,37
1118,9,22,35082,37
1119,10,17,289,37
1120,10,21,180,37
1121,21,17,604800,37
1122,18,24,56842,38
1123,18,16,4,38
1124,18,23,60,38
1125,20,24,84,38
1126,20,22,11321,38
1127,23,24,178,38
1128,23,16,595,38
1129,23,4,3,38
1130,13,8,27,38
1131,13,9,1716,38
1132,13,22,245,38
1133,8,22,8993,38
1134,24,22,6,38
1135,16,9,46,38
1136,16,22,8,38
1137,9,22,171,38
1138,10,17,2,38
1139,18,4,38,39
1140,20,8,78,39
1141,20,3,3256,39
1142,20,13,10393,39
1143,20,22,5397,39
1144,23,16,34,39
1145,23,9,35963,39
1146,23,21,15,39
1147,3,13,249999,39
1148,3,22,15644,39
1149,13,8,202,39
1150,13,24,497,39
1151,13,22,196,39
1152,4,16,301,39
1153,8,9,10,39
1154,8,22,207,39
1155,24,16,137,39
1156,24,22,203,39
1157,16,11,10,39
1158,9,22,190,39
1159,10,17,584,39
1160,1,17,6,4
1161,1,24,3,4
1162,5,8,4,4
1163,5,11,17,4
1164,5,7,10,4
1165,12,18,2,4
1166,12,3,2,4
1167,12,13,43,4
1168,12,14,29,4
1169,12,4,6,4
1170,12,16,1,4
1171,12,22,8,4
1172,12,21,2,4
1173,15,16,1,4
1174,15,3,2,4
1175,15,13,2,4
1176,15,14,2,4
1177,8,11,8,4
1178,8,9,19,4
1179,8,7,5,4
1180,24,18,1,4
1181,24,3,2,4
1182,24,14,4,4
1183,24,9,3,4
1184,24,17,9,4
1185,16,18,11,4
1186,16,19,2,4
1187,16,3,18,4
1188,16,13,4,4
1189,16,7,4,4
1190,16,14,6,4
1191,16,22,2,4
1192,16,21,2,4
1193,16,17,5,4
1194,16,10,6,4
1195,9,18,10,4
1196,9,19,3,4
1197,9,13,2,4
1198,9,14,4,4
1199,9,10,2,4
1200,9,22,4,4
1201,9,21,2,4
1202,9,17,5,4
1203,9,11,3,4
1204,2,6,19,4
1205,2,7,1,4
1206,10,18,4,4
1207,10,19,8,4
1208,10,23,2,4
1209,10,3,30,4
1210,10,7,1,4
1211,10,22,20,4
1212,10,21,1,4
1213,10,17,7,4
1214,10,11,2,4
1215,22,18,3,4
1216,22,19,11,4
1217,22,20,7,4
1218,22,3,23,4
1219,22,13,4,4
1220,22,7,4,4
1221,22,21,14,4
1222,22,17,6,4
1223,22,11,2,4
1224,22,14,4,4
1225,21,18,22,4
1226,21,19,195,4
1227,21,20,2,4
1228,21,3,2,4
1229,21,13,2,4
1230,21,7,2,4
1231,21,17,1,4
1232,21,14,9,4
1233,17,18,5,4
1234,17,20,1,4
1235,17,13,24,4
1236,17,14,5,4
1237,17,3,3,4
1238,11,3,2,4
1239,11,6,2,4
1240,11,7,12,4
1241,18,19,21,4
1242,18,20,1,4
1243,18,3,10,4
1244,18,13,2,4
1245,18,7,22,4
1246,18,14,2,4
1247,19,20,4,4
1248,19,3,10,4
1249,19,13,2,4
1250,19,7,8,4
1251,20,23,2,4
1252,20,3,6,4
1253,3,14,1,4
1254,3,6,4,4
1255,3,7,17,4
1256,3,4,10,4
1257,13,14,134,4
1258,13,4,4,4
1259,6,7,2,4
1260,18,8,107,40
1261,18,17,106,40
1262,18,10,589,40
1263,18,22,277,40
1264,20,9,6,40
1265,20,21,1174,40
1266,20,23,11,40
1267,20,4,3,40
1268,23,21,17164,40
1269,23,9,26,40
1270,23,3,3623,40
1271,23,4,23392,40
1272,3,9,673,40
1273,3,16,4,40
1274,3,21,2285,40
1275,3,4,509880,40
1276,13,16,8,40
1277,13,21,910,40
1278,14,8,767,40
1279,14,10,135,40
1280,4,16,22,40
1281,4,9,778,40
1282,4,10,2403,40
1283,4,21,16873,40
1284,4,17,239,40
1285,8,10,118,40
1286,8,22,26,40
1287,24,22,15670,40
1288,16,17,8,40
1289,16,21,810,40
1290,9,21,712,40
1291,2,22,382,40
1292,10,22,12,40
1293,10,21,200,40
1294,10,17,60,40
1295,18,8,20,41
1296,18,17,13,41
1297,18,10,116419,41
1298,18,14,1268,41
1299,19,14,34,41
1300,20,23,227,41
1301,20,3,156,41
1302,20,13,9,41
1303,20,4,955,41
1304,20,16,15,41
1305,20,9,41,41
1306,20,10,42,41
1307,20,21,1296,41
1308,23,3,30639,41
1309,23,13,70,41
1310,23,4,61503,41
1311,23,16,80,41
1312,23,10,1447,41
1313,23,21,52332,41
1314,23,17,254,41
1315,3,13,2254,41
1316,3,4,200051,41
1317,3,8,635,41
1318,3,16,238,41
1319,3,9,241,41
1320,3,10,22905,41
1321,3,21,1130,41
1322,13,21,310,41
1323,14,8,346,41
1324,14,24,11,41
1325,14,2,29,41
1326,14,10,13489,41
1327,14,17,23,41
